Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Ath Paranaense,35,26.8,48.9,38,418,3420,38.0,42,28,70,38,4,5,78,4,1.11,0.74,1.84,1.0,1.74
vs Atl Goianiense,33,26.7,56.3,38,418,3420,38.0,55,40,95,53,2,4,79,1,1.45,1.05,2.5,1.39,2.45
vs Atlético Mineiro,39,26.6,47.0,38,418,3420,38.0,49,34,83,44,5,9,101,4,1.29,0.89,2.18,1.16,2.05
vs Avaí,29,26.7,59.7,38,418,3420,38.0,46,25,71,38,8,11,87,3,1.21,0.66,1.87,1.0,1.66
vs Bahia,33,26.8,51.4,38,418,3420,38.0,47,32,79,43,4,5,105,6,1.24,0.84,2.08,1.13,1.97
vs Botafogo (RJ),37,26.8,52.9,38,418,3420,38.0,41,23,64,38,3,8,83,2,1.08,0.61,1.68,1.0,1.61
vs Chapecoense,38,26.8,56.2,38,418,3420,38.0,49,39,88,47,2,4,89,4,1.29,1.03,2.32,1.24,2.26
vs Corinthians,32,27.3,45.5,38,418,3420,38.0,30,23,53,29,1,4,86,3,0.79,0.61,1.39,0.76,1.37
vs Coritiba,35,27.0,51.8,38,418,3420,38.0,47,37,84,44,3,5,94,3,1.24,0.97,2.21,1.16,2.13
vs Cruzeiro,35,26.9,47.4,38,418,3420,38.0,38,24,62,30,8,8,92,3,1.0,0.63,1.63,0.79,1.42
vs Flamengo,33,27.1,42.6,38,418,3420,38.0,37,20,57,33,4,5,95,6,0.97,0.53,1.5,0.87,1.39
vs Fluminense,38,27.0,49.8,38,418,3420,38.0,53,39,92,53,0,1,100,3,1.39,1.03,2.42,1.39,2.42
vs Grêmio,49,26.8,46.7,38,418,3420,38.0,34,23,57,32,2,2,113,5,0.89,0.61,1.5,0.84,1.45
vs Palmeiras,32,26.7,43.6,38,418,3420,38.0,44,30,74,37,7,9,107,5,1.16,0.79,1.95,0.97,1.76
vs Ponte Preta,39,26.6,54.4,38,418,3420,38.0,52,37,89,48,4,5,95,2,1.37,0.97,2.34,1.26,2.24
vs Santos,41,26.9,48.6,38,418,3420,38.0,31,20,51,27,4,9,94,4,0.82,0.53,1.34,0.71,1.24
vs São Paulo,41,27.0,44.8,38,418,3420,38.0,49,28,77,40,9,11,87,2,1.29,0.74,2.03,1.05,1.79
vs Sport Recife,35,26.7,47.0,38,418,3420,38.0,58,38,96,53,5,5,85,3,1.53,1.0,2.53,1.39,2.39
vs Vasco da Gama,39,27.0,52.5,38,418,3420,38.0,47,28,75,39,8,8,81,6,1.24,0.74,1.97,1.03,1.76
vs Vitória,37,26.7,51.9,38,418,3420,38.0,55,38,93,49,6,7,72,5,1.45,1.0,2.45,1.29,2.29
